,zip,bar_score,bar_revcount,rest_score,rest_revcount,num_complaints,num_food_est,num_food_poi,num_smoking,num_restaurants,num_violations,num_Cviolations,num_amer,num_chi,num_jap,num_cafe,num_ita,num_latin,num_mex,num_pizza,num_span,avg_score
86,10304,3.925,50.0,4.25,95.0,146.0,91.0,49.0,5.0,54.0,972.0,539.0,14.0,7.0,0.0,0.0,1.0,2.0,5.0,8.0,3.0,17.4631578947
87,10305,3.975,61.5,4.225,102.8,232.0,172.0,53.0,7.0,94.0,1583.0,852.0,17.0,8.0,2.0,1.0,15.0,0.0,3.0,12.0,0.0,14.9613899614
88,10306,3.925,50.85,4.175,85.9,242.0,171.0,63.0,5.0,112.0,1735.0,962.0,24.0,12.0,6.0,1.0,8.0,1.0,2.0,15.0,2.0,14.1571906355
89,10307,3.325,31.4,3.825,34.75,86.0,73.0,12.0,1.0,30.0,401.0,232.0,6.0,2.0,1.0,1.0,5.0,0.0,1.0,4.0,1.0,13.9645390071
90,10308,3.5,30.2,3.875,52.4,95.0,71.0,22.0,2.0,57.0,1016.0,545.0,14.0,6.0,4.0,0.0,9.0,0.0,0.0,6.0,2.0,15.0271903323
91,10309,3.625,35.6,4.025,51.3,117.0,81.0,30.0,3.0,78.0,1235.0,723.0,20.0,4.0,4.0,3.0,7.0,0.0,1.0,11.0,0.0,15.033492823
92,10310,3.825,33.45,4.0,73.6,156.0,120.0,35.0,1.0,53.0,954.0,531.0,14.0,4.0,1.0,1.0,3.0,1.0,5.0,6.0,0.0,16.8945454545
93,10311,3.55,46.2,3.5,14.9,0.0,0.0,0.0,0.0,1.0,19.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6
94,10312,3.925,48.75,4.1,65.95,146.0,115.0,28.0,1.0,76.0,1246.0,738.0,19.0,6.0,7.0,0.0,8.0,0.0,0.0,11.0,0.0,15.6893203883
95,10314,4.025,47.05,4.225,82.9,454.0,307.0,126.0,14.0,179.0,3097.0,1795.0,48.0,14.0,8.0,8.0,8.0,1.0,2.0,20.0,1.0,15.8333333333
96,10317,4.15,74.35,4.125,97.35,0.0,0.0,0.0,0.0,1.0,17.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.75
97,10451,4.075,93.3,4.275,65.05,291.0,204.0,83.0,2.0,162.0,2423.0,1299.0,68.0,13.0,0.0,2.0,1.0,4.0,6.0,16.0,5.0,13.7305045872
98,10452,3.725,110.75,4.2,101.9,224.0,156.0,65.0,2.0,103.0,1902.0,1056.0,8.0,15.0,0.0,0.0,0.0,22.0,2.0,8.0,12.0,15.213036566
99,10453,3.825,80.6,4.225,137.95,216.0,145.0,67.0,2.0,92.0,1850.0,1021.0,6.0,18.0,0.0,0.0,0.0,14.0,5.0,9.0,8.0,15.1598023064
100,10454,4.15,91.55,4.375,94.3,137.0,97.0,40.0,0.0,70.0,1501.0,854.0,11.0,13.0,1.0,0.0,0.0,7.0,7.0,6.0,8.0,14.8396793587
101,10455,3.825,34.7,4.2,27.35,221.0,163.0,56.0,0.0,101.0,1972.0,1073.0,10.0,9.0,0.0,0.0,2.0,10.0,15.0,10.0,9.0,15.2339449541
102,10456,3.9,67.15,4.325,29.2,208.0,151.0,55.0,1.0,93.0,1753.0,968.0,8.0,21.0,0.0,1.0,0.0,10.0,0.0,8.0,5.0,14.3484848485
103,10457,3.8,54.15,4.225,92.4,180.0,127.0,52.0,1.0,88.0,1556.0,794.0,11.0,15.0,0.0,1.0,0.0,11.0,3.0,6.0,15.0,14.693359375
104,10458,3.925,53.1,4.225,91.95,438.0,313.0,81.0,39.0,189.0,3430.0,1880.0,32.0,23.0,2.0,7.0,18.0,17.0,10.0,23.0,8.0,15.1645796064
105,10459,3.775,44.2,4.2,54.1,196.0,150.0,46.0,0.0,74.0,1433.0,800.0,7.0,12.0,0.0,0.0,0.0,11.0,2.0,10.0,5.0,14.3861788618
106,10460,3.85,28.0,4.275,99.5,141.0,94.0,47.0,0.0,68.0,1001.0,502.0,14.0,13.0,0.0,1.0,0.0,8.0,1.0,8.0,2.0,12.8766756032
107,10461,3.85,30.95,4.1,109.4,346.0,248.0,70.0,28.0,157.0,2555.0,1403.0,28.0,17.0,4.0,7.0,11.0,6.0,3.0,16.0,5.0,14.1333333333
108,10462,3.725,32.6,4.0,103.65,486.0,365.0,106.0,12.0,151.0,2645.0,1436.0,29.0,19.0,0.0,4.0,3.0,9.0,6.0,18.0,2.0,14.3890746934
109,10463,3.875,119.5,4.175,125.1,323.0,215.0,96.0,8.0,131.0,2150.0,1179.0,32.0,15.0,3.0,5.0,2.0,9.0,5.0,12.0,3.0,14.2449799197
110,10464,4.05,24.0,3.975,117.55,113.0,77.0,28.0,7.0,37.0,793.0,422.0,14.0,1.0,1.0,0.0,3.0,1.0,0.0,1.0,1.0,16.71875
111,10465,3.775,25.15,4.1,127.05,124.0,76.0,35.0,12.0,79.0,1396.0,736.0,28.0,9.0,3.0,5.0,3.0,3.0,4.0,10.0,1.0,14.614379085
112,10466,3.95,59.25,4.225,55.85,167.0,128.0,34.0,4.0,93.0,1738.0,960.0,10.0,15.0,0.0,0.0,0.0,2.0,0.0,7.0,1.0,14.9705372617
113,10467,4.025,67.45,4.325,106.1,453.0,285.0,140.0,26.0,163.0,2758.0,1501.0,13.0,29.0,0.0,3.0,0.0,9.0,8.0,24.0,10.0,14.614806867
114,10468,4.025,90.75,4.225,123.5,254.0,166.0,78.0,10.0,105.0,2041.0,1101.0,10.0,13.0,0.0,3.0,0.0,10.0,9.0,13.0,7.0,15.3681073025
115,10469,3.925,23.4,4.225,49.65,270.0,168.0,64.0,38.0,90.0,1829.0,1016.0,10.0,13.0,0.0,2.0,2.0,4.0,0.0,14.0,0.0,15.597972973
116,10470,3.725,48.05,4.025,46.8,52.0,29.0,7.0,16.0,46.0,820.0,447.0,10.0,3.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,14.8156028369
117,10471,3.725,95.15,4.15,92.65,87.0,56.0,29.0,2.0,49.0,800.0,443.0,19.0,4.0,2.0,0.0,2.0,1.0,1.0,6.0,0.0,13.8430656934
118,10472,3.725,34.85,4.05,62.1,191.0,136.0,52.0,3.0,107.0,1881.0,1034.0,7.0,15.0,0.0,0.0,0.0,17.0,10.0,11.0,10.0,14.3492063492
119,10473,4.1,33.5,4.225,99.85,148.0,112.0,36.0,0.0,29.0,485.0,276.0,3.0,9.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,14.813253012
120,10474,4.175,51.4,4.1,24.9,42.0,34.0,7.0,1.0,38.0,686.0,377.0,10.0,4.0,0.0,2.0,0.0,6.0,1.0,4.0,5.0,13.8755364807
121,10475,3.475,17.7,3.9,45.75,190.0,131.0,59.0,0.0,59.0,841.0,473.0,14.0,7.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,14.4093959732
122,10528,3.925,63.3,4.325,39.7,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
123,10605,3.7,67.7,4.075,90.65,0.0,0.0,0.0,0.0,1.0,17.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8333333333
